date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:28	7684/7684	---M--	200	added ('OK')	image/png	etag:%225554a5a4-1e04%22	http://html.templines.com/shoptime-html/bath/media/blog/images/post_04.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/images/post_04.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:29	7532/7532	---M--	200	added ('OK')	image/png	etag:%225554a5a4-1d6c%22	http://html.templines.com/shoptime-html/bath/media/blog/images/post_05.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/images/post_05.png	(from http://html.templines.com/shoptime-html/bath/blog.html)
21:56:30	338967/338967	---M--	200	added ('OK')	image/png	etag:%225554a43d-52c17%22	http://html.templines.com/shoptime-html/bath/media/slides/catalog-slide2.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/slides/catalog-slide2.png	(from http://html.templines.com/shoptime-html/bath/catalog.html)
21:56:31	14362/14362	---M--	200	added ('OK')	image/png	etag:%225554a438-381a%22	http://html.templines.com/shoptime-html/bath/media/blog/user2.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/user2.png	(from http://html.templines.com/shoptime-html/bath/blog_single_post.html)
21:56:31	2888/2888	---M--	200	added ('OK')	image/png	etag:%225554a346-b48%22	http://html.templines.com/shoptime-html/bath/images/user_img.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/images/user_img.png	(from http://html.templines.com/shoptime-html/bath/blog_single_post.html)
21:56:32	244/244	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Feb%202017%2013:56:32%20GMT	http://html.templines.com/shoptime-html/bath/Popover%20requires%20tooltip.js	F:/wamp/wed3/html.templines.com/shoptime-html/bath/Popover%20requires%20tooltip.js	(from http://html.templines.com/shoptime-html/bath/js/bootstrap.min.js)
21:56:37	252823/252823	---M--	200	added ('OK')	image/png	etag:%225554a34a-3db97%22	http://html.templines.com/shoptime-html/bath/media/maps.png	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/maps.png	(from http://html.templines.com/shoptime-html/bath/contact.html)
21:56:39	77738/77738	---M--	200	added ('OK')	image/jpeg	etag:%225554a437-12faa%22	http://html.templines.com/shoptime-html/bath/media/blog/2.jpg	F:/wamp/wed3/html.templines.com/shoptime-html/bath/media/blog/2.jpg	(from http://html.templines.com/shoptime-html/bath/blog_single_post.html)
21:56:46	88220/88220	---M--	200	added ('OK')	application/octet-stream	etag:%225554a429-1589c%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.woff2	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.woff2	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
21:56:48	103937/103937	---M--	200	added ('OK')	application/octet-stream	etag:%225554a428-19601%22	http://html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.eot	F:/wamp/wed3/html.templines.com/shoptime-html/bath/fonts/lato/lato-hairlineitalic-webfont.eot	(from http://html.templines.com/shoptime-html/bath/fonts/lato/stylesheet.css)
